City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
52,Sola,VU,2020-02-23 21:19:41,-13.88,167.55,83.14,77,20,14.7,few clouds,0.0,0.0
53,Sao Filipe,CV,2020-02-23 21:19:42,14.9,-24.5,68.41,83,23,16.4,few clouds,0.0,0.0
54,Port Alfred,ZA,2020-02-23 21:19:42,-33.59,26.89,60.01,83,50,2.01,scattered clouds,0.0,0.0
55,Concepcion,CL,2020-02-23 21:19:00,-36.83,-73.05,60.8,77,90,11.41,overcast clouds,0.0,0.0
56,Hasaki,JP,2020-02-23 21:19:33,35.73,140.83,32.0,33,20,1.12,few clouds,0.0,0.0
57,Niksic,ME,2020-02-23 21:19:43,42.77,18.94,48.2,93,90,2.24,overcast clouds,0.0,0.0
58,Along,IN,2020-02-23 21:19:43,28.17,94.77,52.66,90,5,4.68,light rain,0.38,0.0
59,Port Hardy,CA,2020-02-23 21:19:43,50.7,-127.42,41.0,93,90,2.24,light rain,0.0,0.0
60,Springdale,US,2020-02-23 21:15:15,36.19,-94.13,50.0,100,90,8.05,light rain,0.0,0.0
61,Guerrero Negro,MX,2020-02-23 21:19:43,27.98,-114.06,64.15,59,100,18.7,overcast clouds,0.0,0.0
62,Chokurdakh,RU,2020-02-23 21:19:44,70.63,147.92,-20.96,97,77,2.82,broken clouds,0.0,0.0
63,Lata,PT,2020-02-23 21:19:44,40.16,-8.33,62.01,76,0,1.12,clear sky,0.0,0.0
64,Khipro,PK,2020-02-23 21:19:44,25.83,69.38,71.01,34,0,6.82,clear sky,0.0,0.0
65,Baykit,RU,2020-02-23 21:19:08,61.67,96.37,8.71,95,73,2.55,broken clouds,0.0,0.0
66,Kavieng,PG,2020-02-23 21:17:45,-2.57,150.8,84.29,69,2,8.01,clear sky,0.0,0.0
67,Atuona,PF,2020-02-23 21:19:45,-9.8,-139.03,81.61,76,8,13.73,clear sky,0.0,0.0
68,Torbay,CA,2020-02-23 21:19:45,47.67,-52.73,34.0,81,20,13.87,few clouds,0.0,0.0
69,Kinshasa,CD,2020-02-23 21:15:22,-4.32,15.32,80.6,83,100,1.12,moderate rain,4.44,0.0
70,Tuktoyaktuk,CA,2020-02-23 21:17:11,69.45,-133.04,-5.8,70,75,13.87,light snow,0.0,0.0
71,Clyde River,CA,2020-02-23 21:19:46,70.47,-68.59,-20.2,75,75,12.75,broken clouds,0.0,0.0
